Continent,Country,Province,Day,Total.Detected,Active,Active.Hospitalized,Cumulative.Hospitalized,Total.Detected.Deaths,Active.Ventilated,date
North America,US,Connecticut,2020-06-28,45793,2148,594,6866,4347,69,2020-06-28
North America,US,Connecticut,2020-06-29,45832,2051,572,6872,4353,65,2020-06-29
North America,US,Connecticut,2020-06-30,45867,1957,551,6877,4358,62,2020-06-30
North America,US,Connecticut,2020-07-01,45900,1867,530,6882,4363,59,2020-07-01
North America,US,Connecticut,2020-07-02,45931,1780,510,6887,4367,56,2020-07-02
North America,US,Connecticut,2020-07-03,45960,1697,491,6891,4372,53,2020-07-03
North America,US,Connecticut,2020-07-04,45986,1617,472,6895,4376,51,2020-07-04
North America,US,Connecticut,2020-07-05,46010,1540,454,6899,4379,48,2020-07-05
North America,US,Connecticut,2020-07-06,46033,1467,437,6902,4383,45,2020-07-06
North America,US,Connecticut,2020-07-07,46054,1397,420,6905,4386,43,2020-07-07
North America,US,Connecticut,2020-07-08,46074,1329,403,6908,4389,41,2020-07-08
North America,US,Connecticut,2020-07-09,46092,1265,387,6911,4392,39,2020-07-09
North America,US,Connecticut,2020-07-10,46109,1203,372,6914,4395,37,2020-07-10
North America,US,Connecticut,2020-07-11,46124,1144,357,6916,4397,35,2020-07-11
North America,US,Connecticut,2020-07-12,46139,1088,343,6918,4399,33,2020-07-12
North America,US,Connecticut,2020-07-13,46152,1034,329,6920,4401,31,2020-07-13
North America,US,Connecticut,2020-07-14,46164,982,316,6922,4403,29,2020-07-14
North America,US,Connecticut,2020-07-15,46175,933,303,6924,4405,28,2020-07-15
North America,US,Connecticut,2020-07-16,46186,887,291,6925,4407,26,2020-07-16
North America,US,Connecticut,2020-07-17,46195,842,279,6927,4408,25,2020-07-17
North America,US,Connecticut,2020-07-18,46204,799,267,6928,4410,23,2020-07-18
North America,US,Connecticut,2020-07-19,46213,759,256,6929,4411,22,2020-07-19
North America,US,Connecticut,2020-07-20,46220,720,246,6930,4412,21,2020-07-20
North America,US,Connecticut,2020-07-21,46227,683,236,6931,4413,20,2020-07-21
North America,US,Connecticut,2020-07-22,46234,648,226,6932,4414,19,2020-07-22
North America,US,Connecticut,2020-07-23,46239,615,216,6933,4415,18,2020-07-23
North America,US,Connecticut,2020-07-24,46245,583,207,6934,4416,17,2020-07-24
North America,US,Connecticut,2020-07-25,46250,553,199,6935,4417,16,2020-07-25
North America,US,Connecticut,2020-07-26,46254,524,190,6935,4418,15,2020-07-26
North America,US,Connecticut,2020-07-27,46259,497,182,6936,4418,14,2020-07-27
North America,US,Connecticut,2020-07-28,46263,471,174,6937,4419,13,2020-07-28
North America,US,Connecticut,2020-07-29,46266,446,167,6937,4420,12,2020-07-29
North America,US,Connecticut,2020-07-30,46270,423,160,6938,4420,12,2020-07-30
North America,US,Connecticut,2020-07-31,46273,401,153,6938,4421,11,2020-07-31
North America,US,Connecticut,2020-08-01,46275,379,146,6939,4421,10,2020-08-01
North America,US,Connecticut,2020-08-02,46278,359,140,6939,4422,10,2020-08-02
North America,US,Connecticut,2020-08-03,46280,340,134,6939,4422,9,2020-08-03
North America,US,Connecticut,2020-08-04,46282,322,128,6940,4422,9,2020-08-04
North America,US,Connecticut,2020-08-05,46284,305,123,6940,4423,8,2020-08-05
North America,US,Connecticut,2020-08-06,46286,289,118,6940,4423,8,2020-08-06
North America,US,Connecticut,2020-08-07,46288,274,112,6940,4423,7,2020-08-07
North America,US,Connecticut,2020-08-08,46289,259,108,6941,4424,7,2020-08-08
North America,US,Connecticut,2020-08-09,46291,245,103,6941,4424,6,2020-08-09
North America,US,Connecticut,2020-08-10,46292,232,98,6941,4424,6,2020-08-10
North America,US,Connecticut,2020-08-11,46293,220,94,6941,4424,6,2020-08-11
North America,US,Connecticut,2020-08-12,46294,208,90,6941,4424,5,2020-08-12
North America,US,Connecticut,2020-08-13,46295,197,86,6942,4425,5,2020-08-13
North America,US,Connecticut,2020-08-14,46296,186,82,6942,4425,5,2020-08-14
North America,US,Connecticut,2020-08-15,46297,176,79,6942,4425,4,2020-08-15
